symbol,timestamp,open,high,low,close,volume
AAPL,2025-09-02T08:00:00Z,231.89,231.89,230.62,230.9,3476
AAPL,2025-09-02T08:01:00Z,230.92,231.0,230.57,230.86,4468
AAPL,2025-09-02T08:02:00Z,230.86,230.91,230.7,230.88,871
AAPL,2025-09-02T08:03:00Z,230.87,231.1,230.71,230.91,1472
AAPL,2025-09-02T08:04:00Z,230.9,231.07,230.9,231.01,1070
AAPL,2025-09-02T08:05:00Z,231.0,231.0,230.87,230.87,1717
AAPL,2025-09-02T08:06:00Z,230.91,230.98,230.89,230.98,292
AAPL,2025-09-02T08:07:00Z,230.94,231.0,230.93,231.0,425
AAPL,2025-09-02T08:08:00Z,230.93,231.07,230.91,231.06,1694
AAPL,2025-09-02T08:09:00Z,231.1,231.17,231.07,231.17,204
AAPL,2025-09-02T08:10:00Z,231.21,231.25,231.13,231.19,962
AAPL,2025-09-02T08:11:00Z,231.18,231.33,231.13,231.33,645
AAPL,2025-09-02T08:12:00Z,231.23,231.23,231.07,231.14,297
AAPL,2025-09-02T08:13:00Z,231.14,231.14,231.0,231.07,2299
AAPL,2025-09-02T08:14:00Z,231.07,231.09,230.96,230.97,1529
AAPL,2025-09-02T08:15:00Z,231.06,231.06,230.99,230.99,851
AAPL,2025-09-02T08:16:00Z,231.02,231.2,231.0,231.11,514
AAPL,2025-09-02T08:17:00Z,231.14,231.14,231.1,231.11,29
AAPL,2025-09-02T08:18:00Z,231.12,231.12,231.04,231.04,19
AAPL,2025-09-02T08:19:00Z,231.04,231.05,231.04,231.05,37
AAPL,2025-09-02T08:20:00Z,231.06,231.06,230.99,231.0,702
AAPL,2025-09-02T08:21:00Z,230.99,231.1,230.95,231.04,303
AAPL,2025-09-02T08:22:00Z,231.05,231.11,231.04,231.1,133
AAPL,2025-09-02T08:23:00Z,231.1,231.14,231.07,231.14,867
AAPL,2025-09-02T08:24:00Z,231.14,231.17,231.14,231.16,101
AAPL,2025-09-02T08:25:00Z,231.14,231.16,231.12,231.12,332
AAPL,2025-09-02T08:26:00Z,231.14,231.19,231.1,231.18,770
AAPL,2025-09-02T08:27:00Z,231.18,231.18,231.1,231.1,135
AAPL,2025-09-02T08:28:00Z,231.1,231.13,231.09,231.13,587
AAPL,2025-09-02T08:29:00Z,231.12,231.12,231.05,231.09,100
AAPL,2025-09-02T08:30:00Z,231.1,231.1,231.03,231.07,386
AAPL,2025-09-02T08:31:00Z,231.05,231.06,230.98,231.01,1179
AAPL,2025-09-02T08:32:00Z,231.05,231.09,231.01,231.03,196
AAPL,2025-09-02T08:33:00Z,231.08,231.09,231.01,231.01,36
AAPL,2025-09-02T08:34:00Z,231.01,231.04,231.01,231.04,24
AAPL,2025-09-02T08:35:00Z,231.06,231.11,231.06,231.1,700
AAPL,2025-09-02T08:36:00Z,231.07,231.1,231.04,231.05,179
AAPL,2025-09-02T08:37:00Z,231.05,231.09,231.05,231.08,63
AAPL,2025-09-02T08:38:00Z,231.05,231.05,231.04,231.05,98
AAPL,2025-09-02T08:39:00Z,231.08,231.09,231.05,231.07,54
AAPL,2025-09-02T08:40:00Z,231.07,231.16,231.07,231.11,883
AAPL,2025-09-02T08:41:00Z,231.16,231.19,231.1,231.16,80
AAPL,2025-09-02T08:42:00Z,231.18,231.2,231.14,231.14,123
AAPL,2025-09-02T08:43:00Z,231.15,231.28,231.15,231.23,668
AAPL,2025-09-02T08:44:00Z,231.24,231.26,231.24,231.24,139
AAPL,2025-09-02T08:45:00Z,231.24,231.24,231.23,231.24,19
AAPL,2025-09-02T08:46:00Z,231.27,231.28,231.2,231.21,110
AAPL,2025-09-02T08:47:00Z,231.22,231.24,231.17,231.17,46
AAPL,2025-09-02T08:48:00Z,231.18,231.18,231.11,231.14,847
AAPL,2025-09-02T08:49:00Z,231.13,231.19,231.13,231.19,119
AAPL,2025-09-02T08:50:00Z,231.15,231.16,231.1,231.1,150
AAPL,2025-09-02T08:51:00Z,231.11,231.13,231.1,231.13,56
AAPL,2025-09-02T08:52:00Z,231.06,231.06,231.06,231.06,51
AAPL,2025-09-02T08:53:00Z,231.06,231.06,231.04,231.05,118
AAPL,2025-09-02T08:54:00Z,231.05,231.11,231.05,231.1,25
AAPL,2025-09-02T08:55:00Z,231.09,231.11,231.09,231.1,13
AAPL,2025-09-02T08:56:00Z,231.11,231.11,231.09,231.1,68
AAPL,2025-09-02T08:57:00Z,231.12,231.2,231.12,231.13,106
AAPL,2025-09-02T08:58:00Z,231.12,231.13,231.12,231.13,22
AAPL,2025-09-02T08:59:00Z,231.09,231.13,231.09,231.13,24
AAPL,2025-09-02T09:00:00Z,231.09,231.1,231.06,231.07,274
AAPL,2025-09-02T09:01:00Z,231.03,231.07,231.0,231.03,898
AAPL,2025-09-02T09:02:00Z,231.04,231.08,231.04,231.08,231
AAPL,2025-09-02T09:03:00Z,231.07,231.12,231.07,231.12,123
AAPL,2025-09-02T09:04:00Z,231.05,231.05,231.05,231.05,16
AAPL,2025-09-02T09:05:00Z,231.05,231.05,231.03,231.05,35
AAPL,2025-09-02T09:06:00Z,231.08,231.11,231.03,231.05,146
AAPL,2025-09-02T09:07:00Z,231.05,231.1,231.03,231.03,226
AAPL,2025-09-02T09:08:00Z,231.03,231.05,231.03,231.03,44
AAPL,2025-09-02T09:09:00Z,231.03,231.05,231.03,231.05,60
AAPL,2025-09-02T09:10:00Z,231.08,231.11,231.06,231.11,109
AAPL,2025-09-02T09:11:00Z,231.08,231.08,231.08,231.08,1000
AAPL,2025-09-02T09:12:00Z,231.06,231.06,231.06,231.06,2
AAPL,2025-09-02T09:13:00Z,231.07,231.07,231.07,231.07,6
AAPL,2025-09-02T09:14:00Z,231.07,231.07,231.06,231.07,42
AAPL,2025-09-02T09:15:00Z,231.06,231.08,231.06,231.08,58
AAPL,2025-09-02T09:16:00Z,231.08,231.13,231.08,231.13,200
AAPL,2025-09-02T09:17:00Z,231.13,231.13,231.13,231.13,57
AAPL,2025-09-02T09:18:00Z,231.08,231.18,231.08,231.17,126
AAPL,2025-09-02T09:19:00Z,231.15,231.15,231.13,231.13,34
AAPL,2025-09-02T09:20:00Z,231.11,231.2,231.11,231.2,342
AAPL,2025-09-02T09:21:00Z,231.16,231.2,231.16,231.17,630
AAPL,2025-09-02T09:22:00Z,231.2,231.21,231.2,231.21,9
AAPL,2025-09-02T09:23:00Z,231.19,231.19,231.15,231.17,309
AAPL,2025-09-02T09:24:00Z,231.15,231.15,231.15,231.15,51
AAPL,2025-09-02T09:25:00Z,231.15,231.16,231.15,231.15,128
AAPL,2025-09-02T09:26:00Z,231.15,231.19,231.15,231.15,180
AAPL,2025-09-02T09:27:00Z,231.17,231.17,231.12,231.15,934
AAPL,2025-09-02T09:28:00Z,231.14,231.19,231.14,231.18,106
AAPL,2025-09-02T09:29:00Z,231.18,231.2,231.15,231.15,361
AAPL,2025-09-02T09:30:00Z,231.15,231.2,231.14,231.14,49
AAPL,2025-09-02T09:31:00Z,231.15,231.19,231.13,231.13,350
AAPL,2025-09-02T09:32:00Z,231.13,231.13,231.09,231.09,78
AAPL,2025-09-02T09:33:00Z,231.09,231.13,231.06,231.06,26
AAPL,2025-09-02T09:35:00Z,231.1,231.15,231.1,231.15,135
AAPL,2025-09-02T09:36:00Z,231.15,231.15,231.09,231.09,24
AAPL,2025-09-02T09:37:00Z,231.08,231.08,231.08,231.08,28
AAPL,2025-09-02T09:38:00Z,231.12,231.12,231.09,231.09,199
AAPL,2025-09-02T09:39:00Z,231.1,231.12,231.08,231.12,363
AAPL,2025-09-02T09:40:00Z,231.14,231.15,231.12,231.15,7
AAPL,2025-09-02T09:41:00Z,231.12,231.13,231.12,231.13,38
AAPL,2025-09-02T09:42:00Z,231.12,231.13,231.1,231.13,56
AAPL,2025-09-02T09:43:00Z,231.1,231.1,231.09,231.1,130
AAPL,2025-09-02T09:44:00Z,231.08,231.08,231.01,231.07,2797
AAPL,2025-09-02T09:45:00Z,231.07,231.07,231.02,231.03,153
AAPL,2025-09-02T09:46:00Z,231.02,231.02,231.01,231.02,111
AAPL,2025-09-02T09:47:00Z,231.01,231.06,231.01,231.02,242
AAPL,2025-09-02T09:48:00Z,231.04,231.08,231.02,231.03,104
AAPL,2025-09-02T09:49:00Z,231.02,231.02,230.96,230.99,2613
AAPL,2025-09-02T09:50:00Z,230.98,231.03,230.98,230.99,81
AAPL,2025-09-02T09:51:00Z,231.0,231.11,231.0,231.05,310
AAPL,2025-09-02T09:52:00Z,231.02,231.02,230.95,230.95,36
AAPL,2025-09-02T09:53:00Z,230.94,231.03,230.94,231.03,435
AAPL,2025-09-02T09:54:00Z,230.96,230.96,230.94,230.95,125
AAPL,2025-09-02T09:55:00Z,230.98,230.99,230.91,230.96,1481
AAPL,2025-09-02T09:56:00Z,230.91,230.97,230.91,230.92,60
AAPL,2025-09-02T09:57:00Z,230.96,230.96,230.96,230.96,4
AAPL,2025-09-02T09:58:00Z,230.91,230.96,230.91,230.96,24
AAPL,2025-09-02T09:59:00Z,230.92,230.94,230.92,230.94,7
AAPL,2025-09-02T10:00:00Z,230.95,230.96,230.84,230.86,707
AAPL,2025-09-02T10:01:00Z,230.88,230.88,230.83,230.83,51
AAPL,2025-09-02T10:02:00Z,230.85,230.87,230.82,230.84,177
AAPL,2025-09-02T10:03:00Z,230.83,230.85,230.81,230.85,151
AAPL,2025-09-02T10:04:00Z,230.81,230.85,230.8,230.83,136
AAPL,2025-09-02T10:05:00Z,230.8,230.85,230.78,230.79,197
AAPL,2025-09-02T10:06:00Z,230.81,230.84,230.79,230.84,107
AAPL,2025-09-02T10:07:00Z,230.8,230.84,230.8,230.84,46
AAPL,2025-09-02T10:08:00Z,230.84,230.91,230.84,230.9,746
AAPL,2025-09-02T10:09:00Z,230.91,230.95,230.91,230.94,651
AAPL,2025-09-02T10:10:00Z,230.91,230.91,230.88,230.88,337
AAPL,2025-09-02T10:11:00Z,231.0,231.07,231.0,231.07,185
AAPL,2025-09-02T10:12:00Z,230.98,231.0,230.98,231.0,7
AAPL,2025-09-02T10:13:00Z,230.91,231.03,230.91,230.92,16
AAPL,2025-09-02T10:14:00Z,230.91,230.92,230.84,230.88,1358
AAPL,2025-09-02T10:15:00Z,230.85,230.87,230.82,230.87,71
AAPL,2025-09-02T10:16:00Z,230.82,230.86,230.75,230.75,2421
AAPL,2025-09-02T10:17:00Z,230.75,230.75,230.72,230.72,58
AAPL,2025-09-02T10:18:00Z,230.76,230.81,230.75,230.75,52
AAPL,2025-09-02T10:19:00Z,230.77,230.77,230.68,230.68,1104
AAPL,2025-09-02T10:20:00Z,230.68,230.68,230.62,230.62,473
AAPL,2025-09-02T10:21:00Z,230.63,230.63,230.63,230.63,33
AAPL,2025-09-02T10:22:00Z,230.63,230.63,230.63,230.63,1
AAPL,2025-09-02T10:23:00Z,230.63,230.66,230.59,230.59,291
AAPL,2025-09-02T10:24:00Z,230.6,230.63,230.57,230.58,410
AAPL,2025-09-02T10:25:00Z,230.59,230.62,230.55,230.58,900
AAPL,2025-09-02T10:26:00Z,230.57,230.61,230.56,230.59,399
AAPL,2025-09-02T10:27:00Z,230.59,230.59,230.54,230.54,1556
AAPL,2025-09-02T10:28:00Z,230.55,230.55,230.34,230.39,2447
AAPL,2025-09-02T10:29:00Z,230.39,230.5,230.39,230.5,21
AAPL,2025-09-02T10:30:00Z,230.47,230.48,230.28,230.32,860
AAPL,2025-09-02T10:31:00Z,230.29,230.44,230.29,230.37,395
AAPL,2025-09-02T10:32:00Z,230.35,230.54,230.35,230.53,602
AAPL,2025-09-02T10:33:00Z,230.45,230.46,230.41,230.46,56
AAPL,2025-09-02T10:34:00Z,230.46,230.5,230.46,230.46,214
AAPL,2025-09-02T10:35:00Z,230.46,230.59,230.46,230.54,1253
AAPL,2025-09-02T10:36:00Z,230.58,230.58,230.48,230.58,380
AAPL,2025-09-02T10:37:00Z,230.59,230.61,230.45,230.5,1468
AAPL,2025-09-02T10:38:00Z,230.49,230.49,230.49,230.49,1
AAPL,2025-09-02T10:39:00Z,230.42,230.5,230.42,230.5,112
AAPL,2025-09-02T10:40:00Z,230.45,230.5,230.41,230.41,112
AAPL,2025-09-02T10:41:00Z,230.43,230.49,230.42,230.49,5
AAPL,2025-09-02T10:42:00Z,230.42,230.42,230.3,230.3,388
AAPL,2025-09-02T10:43:00Z,230.33,230.39,230.3,230.34,368
AAPL,2025-09-02T10:44:00Z,230.36,230.4,230.34,230.39,70
AAPL,2025-09-02T10:45:00Z,230.39,230.43,230.33,230.43,640
AAPL,2025-09-02T10:46:00Z,230.43,230.43,230.34,230.34,55
AAPL,2025-09-02T10:47:00Z,230.34,230.43,230.33,230.33,32
AAPL,2025-09-02T10:48:00Z,230.42,230.42,230.34,230.4,39
AAPL,2025-09-02T10:49:00Z,230.35,230.41,230.33,230.33,143
AAPL,2025-09-02T10:50:00Z,230.35,230.35,230.35,230.35,69
AAPL,2025-09-02T10:51:00Z,230.35,230.38,230.32,230.32,110
AAPL,2025-09-02T10:52:00Z,230.3,230.32,230.28,230.32,38
AAPL,2025-09-02T10:53:00Z,230.33,230.33,230.29,230.32,103
AAPL,2025-09-02T10:54:00Z,230.31,230.35,230.29,230.29,1444
AAPL,2025-09-02T10:55:00Z,230.32,230.41,230.28,230.38,1101
AAPL,2025-09-02T10:56:00Z,230.38,230.41,230.34,230.38,293
AAPL,2025-09-02T10:57:00Z,230.42,230.42,230.37,230.42,318
AAPL,2025-09-02T10:58:00Z,230.38,230.4,230.35,230.4,11
AAPL,2025-09-02T10:59:00Z,230.4,230.45,230.37,230.38,231
AAPL,2025-09-02T11:00:00Z,230.42,230.61,230.35,230.42,5372
AAPL,2025-09-02T11:01:00Z,230.37,230.37,230.33,230.37,1139
AAPL,2025-09-02T11:02:00Z,230.41,230.52,230.41,230.5,5314
AAPL,2025-09-02T11:03:00Z,230.52,230.65,230.52,230.64,555
AAPL,2025-09-02T11:04:00Z,230.61,230.61,230.5,230.52,2381
AAPL,2025-09-02T11:05:00Z,230.52,230.53,230.51,230.51,224
AAPL,2025-09-02T11:06:00Z,230.51,230.53,230.5,230.52,416
AAPL,2025-09-02T11:07:00Z,230.52,230.55,230.52,230.54,108
AAPL,2025-09-02T11:08:00Z,230.55,230.6,230.54,230.59,1648
AAPL,2025-09-02T11:09:00Z,230.53,230.57,230.53,230.57,36
AAPL,2025-09-02T11:10:00Z,230.51,230.54,230.41,230.42,3262
AAPL,2025-09-02T11:11:00Z,230.42,230.46,230.39,230.46,3419
AAPL,2025-09-02T11:12:00Z,230.46,230.46,230.43,230.44,51
AAPL,2025-09-02T11:13:00Z,230.46,230.46,230.43,230.43,64
AAPL,2025-09-02T11:14:00Z,230.42,230.53,230.42,230.5,840
AAPL,2025-09-02T11:15:00Z,230.48,230.55,230.47,230.5,126
AAPL,2025-09-02T11:16:00Z,230.49,230.5,230.45,230.5,443
AAPL,2025-09-02T11:17:00Z,230.53,230.55,230.46,230.53,318
AAPL,2025-09-02T11:18:00Z,230.54,230.58,230.54,230.58,328
AAPL,2025-09-02T11:19:00Z,230.58,230.58,230.5,230.5,352
AAPL,2025-09-02T11:20:00Z,230.54,230.55,230.53,230.53,963
AAPL,2025-09-02T11:21:00Z,230.53,230.57,230.53,230.57,227
AAPL,2025-09-02T11:22:00Z,230.56,230.65,230.56,230.63,2458
AAPL,2025-09-02T11:23:00Z,230.63,230.7,230.61,230.69,280
AAPL,2025-09-02T11:24:00Z,230.71,230.71,230.65,230.66,612
AAPL,2025-09-02T11:25:00Z,230.65,230.65,230.63,230.64,92
AAPL,2025-09-02T11:26:00Z,230.64,230.74,230.63,230.74,876
AAPL,2025-09-02T11:27:00Z,230.73,230.76,230.64,230.64,106
AAPL,2025-09-02T11:28:00Z,230.72,230.78,230.68,230.68,1293
AAPL,2025-09-02T11:30:00Z,230.68,230.68,230.5,230.53,2851
AAPL,2025-09-02T11:31:00Z,230.54,230.6,230.53,230.59,700
AAPL,2025-09-02T11:32:00Z,230.55,230.67,230.55,230.57,767
AAPL,2025-09-02T11:33:00Z,230.55,230.67,230.5,230.52,2708
AAPL,2025-09-02T11:34:00Z,230.55,230.7,230.49,230.59,451
AAPL,2025-09-02T11:35:00Z,230.63,230.64,230.52,230.52,1680
AAPL,2025-09-02T11:36:00Z,230.52,230.6,230.51,230.51,261
AAPL,2025-09-02T11:37:00Z,230.56,230.66,230.56,230.56,469
AAPL,2025-09-02T11:38:00Z,230.59,230.67,230.55,230.55,410
AAPL,2025-09-02T11:39:00Z,230.52,230.55,230.5,230.55,175
AAPL,2025-09-02T11:40:00Z,230.55,230.68,230.54,230.67,700
AAPL,2025-09-02T11:41:00Z,230.66,230.68,230.63,230.63,119
AAPL,2025-09-02T11:42:00Z,230.63,230.66,230.62,230.62,388
AAPL,2025-09-02T11:43:00Z,230.63,230.63,230.63,230.63,56
AAPL,2025-09-02T11:44:00Z,230.6,230.61,230.58,230.58,22
AAPL,2025-09-02T11:45:00Z,230.6,230.67,230.59,230.6,457
AAPL,2025-09-02T11:46:00Z,230.63,230.63,230.57,230.57,138
AAPL,2025-09-02T11:47:00Z,230.58,230.58,230.51,230.53,759
AAPL,2025-09-02T11:48:00Z,230.55,230.7,230.53,230.61,2975
AAPL,2025-09-02T11:49:00Z,230.6,230.61,230.58,230.58,136
AAPL,2025-09-02T11:50:00Z,230.58,230.59,230.56,230.59,123
AAPL,2025-09-02T11:51:00Z,230.58,230.58,230.53,230.55,698
AAPL,2025-09-02T11:52:00Z,230.55,230.55,230.47,230.48,1327
AAPL,2025-09-02T11:53:00Z,230.5,230.5,230.45,230.47,296
AAPL,2025-09-02T11:54:00Z,230.45,230.64,230.43,230.63,1302
AAPL,2025-09-02T11:55:00Z,230.62,230.64,230.55,230.55,281
